person_id,status,reason
151675,ok,
151676,ok,
151697,ok,
151698,ok,
151699,ok,
151700,ok,
151705,ok,
151706,ok,
151707,ok,
151708,ok,
151711,ok,
151714,ok,
151715,ok,
151716,ok,
151717,ok,
151720,ok,
151722,ok,
151723,ok,
151737,ok,
151744,ok,
151753,ok,
151756,ok,
151762,ok,
151763,ok,
151764,ok,
151780,ok,
151781,ok,
151788,ok,
151789,ok,
151809,ok,
151818,ok,
151819,ok,
151820,ok,
151848,ok,
151849,ok,
151850,ok,
151851,ok,
151852,ok,
151853,ok,
151854,ok,
151855,ok,
151858,ok,
151860,ok,
151866,ok,
151871,ok,
151872,ok,
151879,skipped_no_route,"no car route 190928066#11->564069590#2 (disconnected components (vclass=passenger, component_visits~16))"
151880,ok,
151891,ok,
151892,ok,
151893,ok,
151894,ok,
151909,ok,
15191,ok,
151910,ok,
151939,ok,
151940,ok,
151941,ok,
151942,ok,
15195,ok,
151952,ok,
151969,ok,
151970,ok,
151971,ok,
151976,ok,
151978,ok,
15198,ok,
151992,ok,
152006,ok,
152007,ok,
152020,ok,
152021,ok,
152038,ok,
152039,ok,
152105,ok,
152118,ok,
152119,ok,
15213,ok,
15214,ok,
152192,ok,
152193,ok,
152194,ok,
152195,ok,
152205,ok,
152206,ok,
152207,ok,
152211,skipped_no_route,"no car route 190928066#11->-124207036#2 (disconnected components (vclass=passenger, component_visits~16))"
152212,ok,
152213,ok,
152237,ok,
152238,ok,
152254,ok,
152262,ok,
152265,ok,
152275,ok,
152276,ok,
152281,ok,
152289,ok,
152290,ok,
152292,ok,
152305,ok,
152306,ok,
152307,ok,
152308,ok,
152325,ok,
152326,ok,
152341,ok,
152342,ok,
152343,ok,
152344,ok,
152346,ok,
152347,ok,
152454,ok,
152455,ok,
152466,ok,
152467,ok,
152486,ok,
152487,ok,
152502,ok,
152511,ok,
152512,ok,
152513,ok,
152514,ok,
152523,ok,
152524,ok,
152525,ok,
152526,ok,
152527,ok,
152570,skipped_no_route,"no car route 81204033#2->124196664#4 (disconnected components (vclass=passenger, component_visits~3))"
152571,ok,
152598,ok,
152599,ok,
