person_id;person_trip_id;leg_index;access_stop_id;egress_stop_id;transit_line_id;transit_route_id;departure_id;access_area_id;egress_area_id;transit_mode
11527;1;2;MOBIITI:Quay:114413.link:24820;MOBIITI:Quay:114417.link:151207;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319109;;MOBIITI:StopPlace:78997;MOBIITI:StopPlace:79000;bus
11555;0;1;MOBIITI:Quay:114673.link:68451;MOBIITI:Quay:114627.link:132241;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350337;;MOBIITI:StopPlace:79147;MOBIITI:StopPlace:79123;bus
11555;1;4;MOBIITI:Quay:113801.link:68237;MOBIITI:Quay:113826.link:38284;CA_LA_ROCHELLE:Line:1;CA_LA_ROCHELLE:VehicleJourney:C3348555;;MOBIITI:StopPlace:78679;MOBIITI:StopPlace:78686;bus
11745;0;1;MOBIITI:Quay:114637.link:152072;MOBIITI:Quay:114660.link:37913;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350281;;MOBIITI:StopPlace:79129;MOBIITI:StopPlace:79140;bus
11745;1;4;MOBIITI:Quay:114659.link:37912;MOBIITI:Quay:114638.link:152071;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350323;;MOBIITI:StopPlace:79140;MOBIITI:StopPlace:79129;bus
11815;0;1;MOBIITI:Quay:114380.link:187303;MOBIITI:Quay:114609.link:164632;CA_LA_ROCHELLE:Line:7;CA_LA_ROCHELLE:VehicleJourney:C3322089;;MOBIITI:StopPlace:78979;MOBIITI:StopPlace:79113;bus
11815;0;3;MOBIITI:Quay:114610.link:57233;MOBIITI:Quay:114629.link:172073;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350299;;MOBIITI:StopPlace:79113;MOBIITI:StopPlace:79125;bus
11816;1;2;MOBIITI:Quay:114539.link:1230;MOBIITI:Quay:114609.link:164632;CA_LA_ROCHELLE:Line:4;CA_LA_ROCHELLE:VehicleJourney:C3351825;;MOBIITI:StopPlace:79072;MOBIITI:StopPlace:79113;bus
11816;1;4;MOBIITI:Quay:114610.link:57233;MOBIITI:Quay:114379.link:187304;CA_LA_ROCHELLE:Line:7;CA_LA_ROCHELLE:VehicleJourney:C3322164;;MOBIITI:StopPlace:79113;MOBIITI:StopPlace:78979;bus
11838;0;1;MOBIITI:Quay:114418.link:151208;MOBIITI:Quay:113841.link:94712;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319146;;MOBIITI:StopPlace:79000;MOBIITI:StopPlace:78693;bus
11838;1;4;MOBIITI:Quay:113842.link:94711;MOBIITI:Quay:114417.link:151207;CA_LA_ROCHELLE:Line:8;CA_LA_ROCHELLE:VehicleJourney:C3319109;;MOBIITI:StopPlace:78694;MOBIITI:StopPlace:79000;bus
120113;0;1;MOBIITI:Quay:114517.link:197785;MOBIITI:Quay:114101.link:2403;CA_LA_ROCHELLE:Line:332;CA_LA_ROCHELLE:VehicleJourney:C3323571;;MOBIITI:StopPlace:79058;MOBIITI:StopPlace:78830;bus
120113;0;3;MOBIITI:Quay:114101.link:2404;MOBIITI:Quay:113854.link:172866;CA_LA_ROCHELLE:Line:359;CA_LA_ROCHELLE:VehicleJourney:C3164902;;MOBIITI:StopPlace:78830;MOBIITI:StopPlace:78703;bus
120364;2;7;MOBIITI:Quay:114608.link:49585;MOBIITI:Quay:114610.link:57233;CA_LA_ROCHELLE:Line:4;CA_LA_ROCHELLE:VehicleJourney:C3351746;;MOBIITI:StopPlace:79112;MOBIITI:StopPlace:79113;bus
120364;2;9;MOBIITI:Quay:114610.link:57233;MOBIITI:Quay:114173.link:68459;CA_LA_ROCHELLE:Line:5;CA_LA_ROCHELLE:VehicleJourney:C3350381;;MOBIITI:StopPlace:79113;MOBIITI:StopPlace:78866;bus
120364;2;11;MOBIITI:Quay:114173.link:68458;MOBIITI:Quay:114179.link:112296;CA_LA_ROCHELLE:Line:19;CA_LA_ROCHELLE:VehicleJourney:C3352650;;MOBIITI:StopPlace:78866;MOBIITI:StopPlace:78870;bus
120364;2;13;MOBIITI:Quay:114179.link:112296;MOBIITI:Quay:114518.link:197786;CA_LA_ROCHELLE:Line:332;CA_LA_ROCHELLE:VehicleJourney:C3323574;;MOBIITI:StopPlace:78870;MOBIITI:StopPlace:79058;bus
12074;0;1;MOBIITI:Quay:114608.link:49585;MOBIITI:Quay:114610.link:57233;CA_LA_ROCHELLE:Line:4;CA_LA_ROCHELLE:VehicleJourney:C3351730;;MOBIITI:StopPlace:79112;MOBIITI:StopPlace:79113;bus
